question,answer,category
How do I open a savings account?,"To open a savings account, visit any of our branches with a valid ID, proof of address, and an initial deposit of $100. You can also apply online through our website by filling out the application form and uploading required documents.",Account Opening
What documents do I need to open a bank account?,"You need: (1) Valid government-issued ID (passport, driver's license, or national ID), (2) Proof of address (utility bill or rental agreement from last 3 months), (3) Social Security Number or Tax ID, and (4) Initial deposit amount.",Account Opening
How can I check my account balance?,"You can check your balance through: (1) Mobile banking app, (2) Online banking website, (3) ATM, (4) Calling our customer service at 1-800-BANK-123, or (5) Visiting any branch.",Account Services
What are your ATM withdrawal limits?,"Daily ATM withdrawal limits are: $500 for basic accounts, $1000 for premium accounts, and $2000 for platinum accounts. You can request a temporary limit increase by calling customer service.",ATM Services
How do I report a lost or stolen debit card?,"Immediately call our 24/7 hotline at 1-800-BANK-911 to block your card. You can also freeze your card instantly through the mobile app. A replacement card will be issued within 5-7 business days.",Card Services
What should I do if I forget my online banking password?,"Click 'Forgot Password' on the login page, enter your username and registered email, and follow the reset link sent to your email. For security, you'll need to answer your security questions.",Online Banking
How long does a wire transfer take?,"Domestic wire transfers are completed within 24 hours on business days. International wire transfers take 3-5 business days depending on the destination country and intermediary banks.",Transfers
What are the fees for international transfers?,"International wire transfer fees are: $25 for transfers up to $5000, $40 for transfers between $5000-$50000, and $65 for transfers above $50000. Receiving international transfers is free.",Fees
How do I apply for a personal loan?,"Apply online or visit a branch. You'll need: proof of income (pay stubs), employment verification, credit history authorization, and valid ID. Approval takes 2-3 business days with amounts up to $50000 available.",Loans
What is the interest rate on savings accounts?,"Current savings account rates are: 0.50% APY for balances under $10000, 0.75% APY for $10000-$50000, and 1.00% APY for balances over $50000. Rates are variable and reviewed quarterly.",Interest Rates
How can I increase my credit card limit?,"You can request a credit limit increase through online banking, mobile app, or by calling customer service. We review your payment history, income, and credit score. Approval typically takes 24-48 hours.",Credit Cards
What is overdraft protection and how does it work?,"Overdraft protection links your savings account to your checking account. If you overdraw your checking, we automatically transfer funds from savings (in $50 increments) with a $10 transfer fee per transaction.",Account Services
How do I close my bank account?,"Visit any branch with your ID and debit card. Ensure all pending transactions clear, maintain a zero balance, and cancel automatic payments. There's no fee if the account has been open for 90+ days.",Account Closing
What are your bank hours?,"Branch hours: Monday-Friday 9 AM to 5 PM, Saturday 9 AM to 1 PM, closed Sundays. Customer service available 24/7. Mobile and online banking accessible anytime.",General Information
How do I set up direct deposit?,"Provide your employer with our bank routing number (123456789) and your account number. You can find these on your checks or in online banking under Account Details.",Direct Deposit
Can I open a joint account?,"Yes, joint accounts can be opened by two or more individuals. All parties must be present with valid IDs and proof of address. Joint accounts have equal access and liability for all account holders.",Account Opening
How do I dispute a transaction?,"Report disputes within 60 days through: (1) Mobile app under Transaction History, (2) Calling customer service, or (3) Visiting a branch. We investigate within 10 business days and issue provisional credit if applicable.",Dispute Resolution
What is the minimum balance requirement?,"Minimum balance requirements: $100 for basic savings, $500 for checking accounts, $1000 for premium accounts. Falling below incurs a $12 monthly maintenance fee.",Account Requirements
How can I order checks?,"Order checks through online banking, mobile app, or at any branch. Standard checks (50 sheets) cost $15, designer checks cost $25. Delivery takes 7-10 business days.",Account Services
What are the foreign transaction fees?,"Foreign transaction fees: 3% on debit card purchases abroad, 2.5% on credit card purchases. Our premium credit cards have no foreign transaction fees. ATM withdrawals abroad have a $5 fee plus 3%.",Fees
How do I enable two-factor authentication?,"Go to Security Settings in online banking, select 'Enable 2FA', choose SMS or authenticator app, and follow verification steps. We recommend using an authenticator app for enhanced security.",Security
What is your routing number?,"Our routing number is 123456789. This is used for direct deposits, wire transfers, and ACH transactions. You can also find it on the bottom left of your checks.",General Information
How do I apply for a mortgage?,"Complete our online pre-qualification form or schedule an appointment with a mortgage specialist. Required documents: 2 years tax returns, pay stubs, bank statements, employment verification, and credit authorization.",Loans
Can I refinance my existing loan?,"Yes, refinancing is available for auto loans, personal loans, and mortgages. Current customers get 0.25% rate discount. Apply online or call our loan department at 1-800-LOAN-456.",Loans
What credit score do I need for a loan?,"Minimum credit scores: 650 for personal loans, 620 for auto loans, 680 for mortgages, 700 for premium credit cards. Lower scores may qualify with a co-signer or higher interest rates.",Loans
How do I activate my new debit card?,"Activate by: (1) Calling 1-800-ACTIVATE, (2) Using the mobile app under Card Services, or (3) Making a purchase with PIN at any merchant. Your card activates immediately after verification.",Card Services
What happens if I miss a loan payment?,"Late payments incur a $35 fee and are reported to credit bureaus after 30 days. Contact us immediately if you anticipate difficulty - we offer hardship programs and payment extensions.",Loans
How can I get a bank statement?,"Access statements through: (1) Online banking (up to 7 years history), (2) Mobile app, (3) Email delivery (free), or (4) Request paper statements ($5 per statement) at any branch.",Account Services
Do you offer student accounts?,"Yes, student checking accounts for ages 16-24 with valid student ID have: no monthly fees, free checks, $0 minimum balance, and free overdraft protection. Proof of enrollment required.",Special Accounts
How do I stop a pending transaction?,"Contact customer service immediately at 1-800-BANK-123. We can attempt to stop ACH transactions but cannot stop debit card transactions already authorized. Place stop payments cost $30.",Transaction Management
What is mobile deposit and how do I use it?,"Mobile deposit lets you deposit checks via the mobile app. Endorse the check 'For Mobile Deposit Only', take front and back photos, enter amount, and submit. Funds available in 1-2 business days.",Mobile Banking
Can I have multiple savings accounts?,"Yes, you can open multiple savings accounts for different goals. Each account maintains separate balances but shares the same account holder information. Manage all accounts through one login.",Account Services
How do I update my contact information?,"Update contact info through: (1) Online banking under Profile Settings, (2) Mobile app, (3) Calling customer service, or (4) Visiting any branch with valid ID.",Account Management
